Job_ID,Role,Company,Location,Publish_Time,URL,job_desc,salary,work_type,country
85563748,IT Data Engineer,PT ABC KOGEN DAIRY,South Jakarta,2025-07-08 16:17:33,https://id.jobstreet.com/id/job/85563748,"Job Description; 1. Designing, developing, and maintaining data pipelines for ETL processes and orchestration workflows.; 2. Creating and managing data visualization dashboards to support business decision-making.; 3. Performing data cleansing and validation to ensure data quality and reliability.; 4. Developing and maintaining simple web applications to facilitate data input processes.; 5. Collaborating closely with other IT teams to ensure integrated and complementary system solutions.; Job Qualifications; 1. Minimum Bachelor's degree in Computer Science, Information Systems, Data Engineering, or a related field.; 2. At least 2 years of experience in a similar role, preferably in data engineering or a related domain.; 3. Proficient in core Data Engineering technologies such as Apache Airflow, SQL, and Python.; 4. Strong understanding and hands-on experience with ETL processes and data orchestration.; 5. Excellent communication skills, with a proactive and collaborative work attitude.; 6. Willing to travel and work in different locations.; 7. Placement in Tebet, South Jakarta.",,Full time,indonesia
85315540,"Analyst, Data Engineer",PT Bank DBS Indonesia,Indonesia,2025-06-24 16:17:33,https://id.jobstreet.com/id/job/85315540,"Business Function; DBSI T&O is the backbone that supports the bank as the central of operations and technology. With the spirit of OneTeam and PRIDE! Value, we serve Institutional Banking Operations and Consumer Banking Operations, manage Customer Centre and IT, provide Group Procurement and Corporate Real Estate, coordinate bank-wide Business Continuity Management program and framework, and deliver service quality for Digibank and IBG/GTS. Our Technology & Operations organization is a vital strategic partner to the business in providing competitive advantage that propels DBSI towards being the Best Bank for a Better World (#B3W).; Responsibilities; Collaborate with regional team, business unit, support unit and other related party for any projects.; Ensure user requirements on data needs are captured; Develop scripts/tools to support data requirements and ingestion from BU/SU; Maintain good relationships between IT and business, manage business expectations and negotiate compromise; Requirements; Minimum 4 years of relevant working experience; Understand key data concepts, develop data set processes, techniques and considerations in Machine learning and Data analytics; Training and relevant experience in one or more of the following areas \:; Statistical modelling tools such as\: R, Python, SAS, etc; Data manipulation using scripting languages like Python or using ETL tools; Visual analytics technologies like Tableau, Qlikview, PowerBI, etc; End-to-end analytics architecture, preferably with some working knowledge of big data stack; Passion towards automation where appropriate and beneficial; Unix Shell Scripting and knowledge of Job scheduler; Excellent understanding of technology life cycles and the concepts and practices required to build big data solutions; Ability to understand and build re-usable data assets or features to enable downstream data science models to read and use",,Full time,indonesia
83584141,Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-06-17 16:17:33,https://id.jobstreet.com/id/job/83584141,"Job Description; Design and implement scalable data pipeline using modern data platform (Spark, Flink, Kafka, Airflow); Build and manage ETL/ELT processes to ingest data from various sources (databases, APIs, files, message queues); Develop and maintain data models and data warehouse / datalake architectures; Ensure high data quslity and implement data validation, observability and monitoring frameworks; Collaborate with other team such as data analyst, data scientist and business stakeholders to understand data requirements and deliver data solutions; Optimize performance of big data processing jobs and ensure cost efficiencient data infrastructure; Advocate for best practices in data engineering, including documentation, testing, version control and other with team; Minimum Qualifications; Bachelor degree from Computer Science or Informatic Engineering; Min. 3 years experience as Data Engineer or similar role; Strong proficiency in SQL and programming language (Python, Java or Scala); Hands on with distributed data processing framework (Apache Spark, Kafka, Flink); Solid understanding of data modelling, data warehouse and query performance optimization; Experience with cloud platform such as Alibaba Cloud, AWS, GCP or Azure; Familiarity with modern orchestration tools like Apache AirFlow or other; Experience with CI/CD and DevOps practices in data engineering",,Full time,indonesia
85364324,Senior Data Analyst / Senior Data Engineer,PT INDONESIA LOGAM PRATAMA,South Tangerang,2025-07-02 16:17:33,https://id.jobstreet.com/id/job/85364324,"Main Responsibilities :; Deliver analysis, insights, reporting, data marts, and tools to support the business team; Writing SQL scripts, queries, and stored procedures to extract data; Develops complex advancement reports using SQL, Microsoft Office and other utilities or languages as necessary; Identify data issues proactively and flag them to respective stakeholders; Implements best practices in data management to ensure the integrity of the data, the quality of data processes and delivers analyzable or analyzed data to a variety of internal and external clients; Designing and running queries, generating reports, and helping other people in your organization interpret and use data;  Requirements :; More than 2 years of working experience in data-related fields; Strong experience with data raw collections and manipulation using Microsoft Excel; Strong experience with SQL Connection and SQL Query with problem solving; A strong business acumen and communication skill; Able to effectively deliver technical presentations to non-technical stakeholders; Comfortable working independently and collaboratively with minimal guidance",,Full time,indonesia
85567564,Data Analyst (Azure Synapse),PT Rsystems Ibizcs International,Central Jakarta,2025-07-08 16:17:33,https://id.jobstreet.com/id/job/85567564,"Qualifications:; Bachelor’s degree in Data Science, Computer Science, Information Technology, or a related field.; Minimum of 2 years of experience with Azure Synapse for ETL operations.; At least 2 years of experience building dashboards using Power BI and Tableau.; Proficiency in SQL, Tabelau and Azure Synapse; Strong analytical and problem-solving abilities with sharp attention to detail.; Excellent communication and interpersonal skills.; Ability to work independently and within a collaborative team environment.; Good communicate in English; Willing for contract based; Key Responsibilities:; Perform ETL processes using Azure Synapse to integrate and manage data from diverse sources.; Develop and maintain interactive dashboards using Power BI and Tableau to drive business decisions.; Collaborate with cross-functional teams to gather requirements and deliver actionable insights.; Monitor data quality and uphold integrity in data and processes.; Respond to ad-hoc analysis requests with clear, concise findings.",Rp 10.000.000 – Rp 15.000.000 per month,Full time,indonesia
85812908,Data Engineer (Middle),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta,2025-07-16 16:17:33,https://id.jobstreet.com/id/job/85812908,"Job Description; Bertanggung jawab dalam membangun dan memelihara sistem data-platform, mulai dari tahapan proses pengumpulan data dari berbagai data-source (extract), data-cleansing (data quality) dan data transformasi (transform). Data-Platform sebagai tools memberikan insight kepada pengguna dalam melakukan pengambilan keputusan operasional maupun keputusan strategi.; Mengekstrak, mengubah, dan memuat (ETL) data dari berbagai sumber termasuk basis data, API, dan berkas log; Menerapkan pemeriksaan kualitas data dan sistem pemantauan untuk memastikan keakuratan dan konsistensi data; Mengembangkan dan memelihara model data dan data warehouse; Berkolaborasi dengan business-analyst untuk memahami kebutuhan data mereka dan menerjemahkannya menjadi technical-specification; Menganalisa dan melakukan perubahaan terhadap sistem data-platform untuk perbaikan system-error, pemeliharaan dan pengembangan; Menjaga kualitas sistem yang dihasilkan dengan mempertimbangkan user-friend, user-experience, speed performance dan system reliability; Melakukan test terhadap hasil pengembangan/pemeliharaan; Bertanggung jawab atas pengembangan dan pemeliharaan peranti lunak sesuai dengan objektif perusahaan dan kebutuhan pengguna; Qualification:; Berpengalaman min. 2 tahun bekerja sebagai ETL Developer mengembangkan memelihara dan mengelola RDBMS termasuk pembuatan script, store-procedure dan SQL Query; Membuat dan memelihara data pipeline architecture yang optimal untuk integrasi data menggunakan ETL tools seperti SSIS, Pentaho dan Talend; Build data ingestion workflow for data warehouse/data marts/operational data store7; Pengetahuan dan pengalaman terhadap data-warehouse, data-marts, operational-data-store dan master data management; Pengetahuan dan pengalaman dalam database-design dan membangun database; Pengetahuan dan pengalaman dalam pembuatan SQL script dan tuning SQL yang baik",,Kontrak/Temporer,indonesia
81625510,Data Engineer,Ctlyst,Jakarta,2025-06-17 16:17:33,https://id.jobstreet.com/id/job/81625510,"At Catalyst, People are the heartbeat of our company. We believe that good quality people will have a positive impact on our business. We are looking for a skilled Data Engineer to join our growing team. If you are passionate about being part of the team, building some of the most critical products, and Working alongside teams in the industry across product, engineering, and design, Let’s join us!; ; Job Description:; Develop data models and maintain company metrics and dashboard.; Develop and maintain ETL data pipelines.; Do automate testing to ensure data quality.; Translates complex functional and technical requirements into detailed design and high performing data applications.; Research or explore any new technologies to complement or improve requirements and current technologies.; Collaborate with management, business partners, analysts, developers, architects, and engineers to support data quality efforts.; ; Requirements:; Possess at least 2 years of experience in Data Engineering. Experienced working in e-commerce or marketplace is preferred.; Bachelor Degree in Computer Science, IT, Mathematics or related field.; Strong proficiency in Python, R, and SQL.; Strong data modeling knowledge.; Strong foundation in Data Query/Manipulation.; Have experience managing and designing data pipelines, debugging data issues.; Experienced in DBT (Data Build Tools) and Snowflake.; Experience working with complex ETL and Data warehouse will be a bonus.",,Kontrak/Temporer,indonesia
85808290,Senior Data Engineer,Yayasan Bina Nusantara,West Jakarta,2025-07-16 16:17:33,https://id.jobstreet.com/id/job/85808290,"Job Descriptions:; Create and maintain optimal data pipeline architecture for report, business intelligence (BI) dashboard.; Create report and business intelligence (BI) dashboard need by organization.; Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery that needed by BI and reporting services; Create the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and big data technologies.; Create analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics.; Create data tools for analytics in building and optimizing reporting services.; Ensure the effectiveness and efficiency of operational database system.; Monitor database & system operational activities in Bina Nusantara.; Maintain data security and accuracy in Bina Nusantara; Provide excellent service towards users, in relation to database authorization, change and withdrawal (web & workgroup); ; Requirements :; Minimum Bachelor Degree in Computer Science or related field; Had experience 2 years as Data Analyst or related field is a plus; Understanding of structured query language (SQL); Demonstrated experience with BI Tools (Tableau, Power BI, OBIEE, Qlikview).; Experience interpreting data and analyzing results using statistical techniques; Experience presenting findings to business partners across the organization, including executive leadership; Experience with database software/web applications; Strong analytical and organisational skills; Ability to work well in a fast paced environment, where the technology is constantly changing",,Full time,indonesia
82974109,Data & Analytics Engineer,Vida,Jakarta,2025-06-17 16:17:33,https://id.jobstreet.com/id/job/82974109,"About the Role; We are seeking a highly skilled Data & Analytics Engineer to drive data-driven decision-making by designing, optimizing, and maintaining scalable data pipelines and analytical solutions. This role involves working with Amazon Athena, MySQL, Google Sheets, and Holistics to manage, analyze, and visualize key business data. You will play a crucial role in building a scalable budget and forecasting tool, integrating transaction data with HubSpot data, and optimizing data workflows to support financial and operational insights.; Key Responsibilities; Data Engineering & Management:; Design and develop SQL-based data pipelines to integrate HubSpot, MySQL transaction data, and Athena.; Develop and optimize queries for Athena (Presto-based SQL) to ensure efficient data retrieval and reporting.; Develop, maintain and enhance data models on dbt to support analytics and reporting needs.; Develop dynamic SQL scripts for extracting and transforming data that support cross functional requirements; Automate data ingestion from various sources, ensuring scalability and maintainability; Data Analytics & Reporting:; Work with Holistics BI to create dashboards and automate reporting using Athena queries.; Ensure data accuracy and consistency by implementing validation and reconciliation processes.; Develop Python scripts for ad-hoc data transformations; Budget & Forecasting Tool Development:; Work on a custom web-based budgeting and forecasting application integrated with Holistics.; Enable input capabilities for budget and forecast data using front-end tools.; Collaborate with stakeholders to define business logic and financial modeling requirements.; Key Skills & Experience Required; Strong expertise in SQL (Athena/Presto, MySQL) for complex queries and performance tuning.; Experience with BI tools (Holistics preferred) for dashboarding and reporting.; Proficiency in Python for data manipulation, automation, and scripting tasks.; Experience with Google Sheets API & Athena integrations.; Ability to translate business requirements into scalable data solutions.; Strong problem-solving skills and attention to detail.; Nice-to-Have Skills; Experience with cloud-based data lakes (AWS S3, Athena, Glue, etc.).; Familiarity with HubSpot data structures and CRM analytics.; Exposure to web-based data entry tools for budgeting & forecasting solutions..",,Full time,indonesia
83178851,TC - Data Exchange Platform Advisor,EY,Jakarta,2025-06-17 16:17:33,https://id.jobstreet.com/id/job/83178851,"About EY: EY, a global leader operating in over 150 countries, delivers exceptional service in Consulting, assisting clients in transforming and enhancing their capabilities. We are dedicated to helping our clients build a better working world, creating long-term value for people and society, and fostering trust in capital markets. This commitment begins with a culture that prioritizes training, opportunities, and creative freedom, empowering you to make impactful changes. Regardless of when you join or how long you stay, the exceptional EY experience is designed to last a lifetime. With a focus on hiring and developing passionate individuals, we strive to be the best employer in the industry. At EY, you’ll have the opportunity to build a career as unique as you are, supported by a global network, an inclusive culture, and cutting-edge technology. We value your unique voice and perspective, which will help us improve even further. Join us to create an exceptional experience for yourself and contribute to a better working world for all.; The Opportunity: You will play a crucial role in guiding our clients through their business and technology transformation journeys. We expect you to provide a unique perspective on how technology can enhance and transform their organizations, addressing key business challenges. This area is characterized by high growth and visibility, offering numerous opportunities for skill enhancement and career development.; Your Key Responsibilities: You will collaborate with a diverse range of clients and colleagues to deliver the latest trends, practices, technologies, and architectures. Your focus will be on designing, building, and maintaining scalable and robust solutions that unify, enrich, collaborate, and deliver value.; Requirements:; A minimum bachelor’s degree in Computer Science, Software Engineering, Computer Management, Information Technology, Information Systems, or Information Engineering.; At least 5 years of experience in data exchange, data integration, or data sharing projects specifically for national identity and digital ID programs.; Proven experience in at least 2 projects involving the design and implementation of data exchange solutions for large-scale national-level projects.; A strong background in consulting services and technical advice related to National Digital Identity and identity verification methods, including biometrics, document verification, and facial recognition.; What We Look For: We seek passionate individuals with a strong vision and a commitment to staying ahead of industry trends. If you have a genuine enthusiasm for helping businesses reach their full potential, this role is for you.; What We Offer:; Continuous Learning: Develop the mindset and skills to navigate future challenges.; Success as Defined by You: We provide the tools and flexibility to make a meaningful impact in your own way.; Transformative Leadership: Gain insights, coaching, and confidence to become the leader the world needs.; Diverse and Inclusive Culture: Be embraced for who you are and empowered to help others find their voice.; If you meet the criteria outlined above, please contact us as soon as possible.; EY is an equal opportunity, affirmative action employer, providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, as applicable by law. EY is committed to providing reasonable accommodations to individuals with special needs. If you are a qualified individual with special needs and require assistance applying online or need to request an accommodation during the interview process, please speak to our HR executives, and we will be happy to assist you.",,Full time,indonesia
